seed,n,m,mu,run,generations,max_generations,diversity,fitness,opt,algorithm,mutation
91577,100,3,25,17,4251,250000,1,-77,-38,Mu1-unconst,XRAI_0.000000
95081,100,3,25,18,3979,250000,1,-75,-40,Mu1-unconst,XRAI_0.000000
98785,100,3,25,19,6942,250000,1,-75,-35,Mu1-unconst,XRAI_0.000000
102689,100,3,25,20,3821,250000,1,-78,-30,Mu1-unconst,XRAI_0.000000
106793,100,3,25,21,5907,250000,1,-76,-37,Mu1-unconst,XRAI_0.000000
111097,100,3,25,22,7935,250000,1,-78,-43,Mu1-unconst,XRAI_0.000000
115601,100,3,25,23,9199,250000,1,-78,-40,Mu1-unconst,XRAI_0.000000
120305,100,3,25,24,4888,250000,1,-76,-34,Mu1-unconst,XRAI_0.000000
125209,100,3,25,25,5509,250000,1,-75,-35,Mu1-unconst,XRAI_0.000000
130313,100,3,25,26,4943,250000,1,-74,-39,Mu1-unconst,XRAI_0.000000
135617,100,3,25,27,7231,250000,1,-76,-35,Mu1-unconst,XRAI_0.000000
141121,100,3,25,28,5221,250000,1,-78,-41,Mu1-unconst,XRAI_0.000000
146825,100,3,25,29,5143,250000,1,-77,-31,Mu1-unconst,XRAI_0.000000
62625,100,5,25,0,6280,250000,1,-62,-15,Mu1-unconst,XRAI_0.000000
62731,100,5,25,1,3859,250000,1,-65,-19,Mu1-unconst,XRAI_0.000000
63037,100,5,25,2,6237,250000,1,-64,-18,Mu1-unconst,XRAI_0.000000
63543,100,5,25,3,5950,250000,1,-66,-17,Mu1-unconst,XRAI_0.000000
64249,100,5,25,4,5106,250000,1,-64,-21,Mu1-unconst,XRAI_0.000000
65155,100,5,25,5,5403,250000,1,-59,-13,Mu1-unconst,XRAI_0.000000
66261,100,5,25,6,4589,250000,1,-67,-21,Mu1-unconst,XRAI_0.000000
67567,100,5,25,7,5747,250000,1,-63,-12,Mu1-unconst,XRAI_0.000000
69073,100,5,25,8,6470,250000,1,-65,-18,Mu1-unconst,XRAI_0.000000
70779,100,5,25,9,4657,250000,1,-66,-13,Mu1-unconst,XRAI_0.000000
72685,100,5,25,10,6164,250000,1,-66,-21,Mu1-unconst,XRAI_0.000000
74791,100,5,25,11,4412,250000,1,-62,-17,Mu1-unconst,XRAI_0.000000
77097,100,5,25,12,5665,250000,1,-64,-14,Mu1-unconst,XRAI_0.000000
79603,100,5,25,13,4977,250000,1,-64,-19,Mu1-unconst,XRAI_0.000000
82309,100,5,25,14,4606,250000,1,-63,-21,Mu1-unconst,XRAI_0.000000
