seed,n,m,mu,run,generations,max_generations,diversity,fitness,opt,algorithm,mutation,alpha,g,r,c
36675,50,10,10,25,1447,25000,1,-3,0,NOAH,XRAI_0.000000,1,10,5,5
39236,50,10,10,26,1054,25000,1,-9,0,NOAH,XRAI_0.000000,1,10,5,5
41897,50,10,10,27,891,25000,1,-3,0,NOAH,XRAI_0.000000,1,10,5,5
44658,50,10,10,28,1176,25000,1,-4,0,NOAH,XRAI_0.000000,1,10,5,5
47519,50,10,10,29,1106,25000,1,-2,0,NOAH,XRAI_0.000000,1,10,5,5
31301,50,1,25,0,11090,62500,1,-39,-25,NOAH,XRAI_0.000000,1,25,12,12
31353,50,1,25,1,20028,62500,1,-36,-22,NOAH,XRAI_0.000000,1,25,12,12
31505,50,1,25,2,16811,62500,1,-37,-25,NOAH,XRAI_0.000000,1,25,12,12
31757,50,1,25,3,62500,62500,0.998822,-37,-27,NOAH,XRAI_0.000000,1,25,12,12
32109,50,1,25,4,23675,62500,1,-37,-25,NOAH,XRAI_0.000000,1,25,12,12
32561,50,1,25,5,21091,62500,1,-40,-27,NOAH,XRAI_0.000000,1,25,12,12
33113,50,1,25,6,11707,62500,1,-37,-23,NOAH,XRAI_0.000000,1,25,12,12
33765,50,1,25,7,11005,62500,1,-37,-27,NOAH,XRAI_0.000000,1,25,12,12
34517,50,1,25,8,18338,62500,1,-37,-26,NOAH,XRAI_0.000000,1,25,12,12
35369,50,1,25,9,9638,62500,1,-38,-25,NOAH,XRAI_0.000000,1,25,12,12
36321,50,1,25,10,25454,62500,1,-35,-24,NOAH,XRAI_0.000000,1,25,12,12
37373,50,1,25,11,19456,62500,1,-36,-26,NOAH,XRAI_0.000000,1,25,12,12
38525,50,1,25,12,30526,62500,1,-36,-25,NOAH,XRAI_0.000000,1,25,12,12
39777,50,1,25,13,9557,62500,1,-38,-27,NOAH,XRAI_0.000000,1,25,12,12
41129,50,1,25,14,12771,62500,1,-39,-27,NOAH,XRAI_0.000000,1,25,12,12
42581,50,1,25,15,7121,62500,1,-39,-26,NOAH,XRAI_0.000000,1,25,12,12
44133,50,1,25,16,19466,62500,1,-36,-26,NOAH,XRAI_0.000000,1,25,12,12
45785,50,1,25,17,18017,62500,1,-38,-26,NOAH,XRAI_0.000000,1,25,12,12
47537,50,1,25,18,14889,62500,1,-36,-28,NOAH,XRAI_0.000000,1,25,12,12
49389,50,1,25,19,11225,62500,1,-37,-25,NOAH,XRAI_0.000000,1,25,12,12
51341,50,1,25,20,27698,62500,1,-36,-26,NOAH,XRAI_0.000000,1,25,12,12
53393,50,1,25,21,10662,62500,1,-38,-26,NOAH,XRAI_0.000000,1,25,12,12
55545,50,1,25,22,24718,62500,1,-37,-29,NOAH,XRAI_0.000000,1,25,12,12
57797,50,1,25,23,13662,62500,1,-36,-24,NOAH,XRAI_0.000000,1,25,12,12
60149,50,1,25,24,13925,62500,1,-38,-28,NOAH,XRAI_0.000000,1,25,12,12
62601,50,1,25,25,40834,62500,1,-36,-27,NOAH,XRAI_0.000000,1,25,12,12
65153,50,1,25,26,17198,62500,1,-38,-26,NOAH,XRAI_0.000000,1,25,12,12
67805,50,1,25,27,44843,62500,1,-32,-22,NOAH,XRAI_0.000000,1,25,12,12
70557,50,1,25,28,11761,62500,1,-39,-28,NOAH,XRAI_0.000000,1,25,12,12
73409,50,1,25,29,35694,62500,1,-37,-27,NOAH,XRAI_0.000000,1,25,12,12
31309,50,3,25,0,10603,62500,1,-19,-6,NOAH,XRAI_0.000000,1,25,12,12
31363,50,3,25,1,8702,62500,1,-21,-4,NOAH,XRAI_0.000000,1,25,12,12
31517,50,3,25,2,12548,62500,1,-22,-7,NOAH,XRAI_0.000000,1,25,12,12
31771,50,3,25,3,8575,62500,1,-19,-3,NOAH,XRAI_0.000000,1,25,12,12
32125,50,3,25,4,8496,62500,1,-19,-4,NOAH,XRAI_0.000000,1,25,12,12
32579,50,3,25,5,11494,62500,1,-20,-8,NOAH,XRAI_0.000000,1,25,12,12
33133,50,3,25,6,9130,62500,1,-21,-6,NOAH,XRAI_0.000000,1,25,12,12
33787,50,3,25,7,9030,62500,1,-21,-6,NOAH,XRAI_0.000000,1,25,12,12
34541,50,3,25,8,11206,62500,1,-21,-6,NOAH,XRAI_0.000000,1,25,12,12
35395,50,3,25,9,8694,62500,1,-23,-6,NOAH,XRAI_0.000000,1,25,12,12
36349,50,3,25,10,7612,62500,1,-21,-7,NOAH,XRAI_0.000000,1,25,12,12
37403,50,3,25,11,10591,62500,1,-23,-7,NOAH,XRAI_0.000000,1,25,12,12
38557,50,3,25,12,10266,62500,1,-21,-9,NOAH,XRAI_0.000000,1,25,12,12
39811,50,3,25,13,15785,62500,1,-19,-6,NOAH,XRAI_0.000000,1,25,12,12
41165,50,3,25,14,9480,62500,1,-16,-4,NOAH,XRAI_0.000000,1,25,12,12
42619,50,3,25,15,12928,62500,1,-17,-9,NOAH,XRAI_0.000000,1,25,12,12
44173,50,3,25,16,16326,62500,1,-18,-6,NOAH,XRAI_0.000000,1,25,12,12
45827,50,3,25,17,15507,62500,1,-17,-4,NOAH,XRAI_0.000000,1,25,12,12
47581,50,3,25,18,14392,62500,1,-18,-3,NOAH,XRAI_0.000000,1,25,12,12
49435,50,3,25,19,16858,62500,1,-21,-11,NOAH,XRAI_0.000000,1,25,12,12
51389,50,3,25,20,8550,62500,1,-18,-3,NOAH,XRAI_0.000000,1,25,12,12
