seed,n,m,mu,run,generations,max_generations,diversity,fitness,opt,alpha,algorithm,mutation
3259,5,3,2,25,7,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
3518,5,3,2,26,4,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
3787,5,3,2,27,12,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
4066,5,3,2,28,6,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
4355,5,3,2,29,4,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
26,5,1,2,0,9,50,1,0,0,0.5,Mu1-const,1RAI
33,5,1,2,1,3,50,1,0,0,0.5,Mu1-const,1RAI
50,5,1,2,2,5,50,1,0,0,0.5,Mu1-const,1RAI
77,5,1,2,3,11,50,1,0,0,0.5,Mu1-const,1RAI
114,5,1,2,4,2,50,1,0,0,0.5,Mu1-const,1RAI
161,5,1,2,5,43,50,1,0,0,0.5,Mu1-const,1RAI
218,5,1,2,6,3,50,1,0,0,0.5,Mu1-const,1RAI
285,5,1,2,7,14,50,1,0,0,0.5,Mu1-const,1RAI
362,5,1,2,8,50,50,0.75,0,0,0.5,Mu1-const,1RAI
449,5,1,2,9,10,50,1,0,0,0.5,Mu1-const,1RAI
546,5,1,2,10,11,50,1,0,0,0.5,Mu1-const,1RAI
653,5,1,2,11,12,50,1,0,0,0.5,Mu1-const,1RAI
770,5,1,2,12,7,50,1,0,0,0.5,Mu1-const,1RAI
897,5,1,2,13,4,50,1,0,0,0.5,Mu1-const,1RAI
1034,5,1,2,14,23,50,1,0,0,0.5,Mu1-const,1RAI
1181,5,1,2,15,2,50,1,0,0,0.5,Mu1-const,1RAI
1338,5,1,2,16,12,50,1,0,0,0.5,Mu1-const,1RAI
1505,5,1,2,17,5,50,1,0,0,0.5,Mu1-const,1RAI
1682,5,1,2,18,4,50,1,0,0,0.5,Mu1-const,1RAI
1869,5,1,2,19,20,50,1,0,0,0.5,Mu1-const,1RAI
2066,5,1,2,20,50,50,0.75,0,0,0.5,Mu1-const,1RAI
2273,5,1,2,21,10,50,1,0,0,0.5,Mu1-const,1RAI
2490,5,1,2,22,11,50,1,0,0,0.5,Mu1-const,1RAI
2717,5,1,2,23,4,50,1,0,0,0.5,Mu1-const,1RAI
2954,5,1,2,24,8,50,1,0,0,0.5,Mu1-const,1RAI
3201,5,1,2,25,20,50,1,0,0,0.5,Mu1-const,1RAI
3458,5,1,2,26,2,50,1,0,0,0.5,Mu1-const,1RAI
3725,5,1,2,27,20,50,1,0,0,0.5,Mu1-const,1RAI
4002,5,1,2,28,50,50,0.75,0,0,0.5,Mu1-const,1RAI
4289,5,1,2,29,3,50,1,0,0,0.5,Mu1-const,1RAI
34,5,3,2,0,11,50,1,0,0,0.5,Mu1-const,1RAI
43,5,3,2,1,2,50,1,0,0,0.5,Mu1-const,1RAI
62,5,3,2,2,2,50,1,0,0,0.5,Mu1-const,1RAI
91,5,3,2,3,3,50,1,0,0,0.5,Mu1-const,1RAI
130,5,3,2,4,6,50,1,0,0,0.5,Mu1-const,1RAI
179,5,3,2,5,5,50,1,0,0,0.5,Mu1-const,1RAI
238,5,3,2,6,22,50,1,0,0,0.5,Mu1-const,1RAI
