seed,n,m,mu,run,diversity,fitness,OPT,algorithm,mutation,rob_test_0,init
2727,10,1,10,13,0.942622,2,0,Mu1-unconst,NSWAP,5.0,0
2999,10,1,10,14,0.868532,5,0,Mu1-unconst,NSWAP,-1.0,1
5103,50,1,10,1,1.0,42,29,Mu1-unconst,NSWAP,-1.0,0
5255,50,1,10,2,0.976435,44,28,Mu1-unconst,NSWAP,-1.0,1
25091,50,1,10,20,1.0,39,25,Mu1-unconst,NSWAP,-1.0,0
27143,50,1,10,21,0.970504,41,27,Mu1-unconst,NSWAP,45.0,1
2999,10,1,10,14,0.94028,4,0,Mu1-unconst,NSWAP,6.0,0
3291,10,1,10,15,0.866461,2,0,Mu1-unconst,NSWAP,4.0,1
3291,10,1,10,15,0.945065,2,0,Mu1-unconst,NSWAP,4.0,0
3603,10,1,10,16,0.840268,2,0,Mu1-unconst,NSWAP,6.0,1
2934,25,1,10,4,1.0,18,10,Mu1-unconst,NSWAP,-1.0,0
3161,25,1,10,5,0.946931,15,4,Mu1-unconst,NSWAP,-1.0,1
3603,10,1,10,16,0.94028,2,0,Mu1-unconst,NSWAP,4.0,0
3935,10,1,10,17,0.873856,2,0,Mu1-unconst,NSWAP,5.0,1
3935,10,1,10,17,0.947622,2,0,Mu1-unconst,NSWAP,5.0,0
3161,25,1,10,5,1.0,15,4,Mu1-unconst,NSWAP,19.0,0
14670,25,1,10,22,1.0,18,9,Mu1-unconst,NSWAP,-1.0,0
